species_richness,data_dir,n_valid_pixels,n_valid_bands,CV_mean_400_2500,CV_mean_430_925,CV_mean_430_700,CV_mean_700_900,CV_mean_1500_1800,CV_mean_2000_2500
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/2cm,235225,393,66.47068077681017,52.82005507709892,56.56558948912812,48.30502380365911,56.76615754046274,104.00161756952119
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/2cm,235225,393,69.57337987439078,55.975996857132486,60.66530210371555,50.32138430728169,59.898030234262784,108.07037312721779
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/2cm,235225,393,75.27985555683749,53.91540267363758,59.340886212847835,47.44348672794176,68.12775008852863,129.40168216420022
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/2cm,235225,393,68.41418206528066,57.301367984059105,62.9352141101145,50.58886701024638,61.81503586390516,101.1385156434478
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/2cm,235225,393,73.79145601111544,55.6207206995654,58.03202239199608,52.82385482355262,70.17443321887517,116.8280736568638
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/2cm,235225,393,90.01633892475606,82.021103074619,82.2517814672968,81.81044662098489,89.2688397151165,108.1641257668293
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/2cm,235225,393,79.6597049548021,58.95464427930315,63.53401930274175,53.580168271804865,76.77882766144967,129.73035787195937
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/2cm,235225,393,105.93507982498251,104.81969633192215,116.79538961309467,90.33492384162658,100.48377362429392,123.04806896248063
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/2cm,235225,393,99.39345962555366,98.56002026547911,107.0843394249384,88.266313970896,95.93207384751038,112.33087402095008
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/2cm,235225,393,102.79213116984394,101.66800420074591,111.34117255085329,89.99090479223578,98.3217677505361,118.5951563723463
27,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/27sp/2cm,235225,393,116.50582093505945,107.90596696233948,121.97298114931348,90.91957167931807,106.31369827809365,153.5229737019051
30,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/30sp_with_abundance/2cm,235225,393,113.10404510316076,113.49348205129107,130.53953504339214,92.88907561904412,105.22965656167256,132.99453301810107
