species_richness,data_dir,n_valid_pixels,n_valid_bands,CHV,latent_variance_sum,mean_pairwise_distance,mean_reconstruction_error
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/1m,100,393,0.2722824658159326,1.2244818,1.3301906036872013,0.000648485201005914
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/1m,100,393,0.27398101441479916,1.1402622,1.2703099373740212,0.0005201037173203458
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/1m,100,393,0.3168733654143271,2.457667,1.775935403220249,0.0009310086552608065
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/1m,100,393,0.49589005374619327,1.823721,1.5929661863060514,0.0006900159615858329
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/1m,100,393,0.43939551498125684,3.1048138,1.9820216739516903,0.0006929626638549494
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/1m,100,393,0.13285667550478095,1.9218158,1.5209833901959193,0.0007421867244566728
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/1m,100,393,1.1124169015493215,6.79279,2.851233616657171,0.000966521389412237
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/1m,100,393,0.38679273788221075,1.4056976,1.3503418943974532,0.0008370242027808489
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/1m,100,393,0.1927998243870425,1.1007639,1.2145719235679655,0.0006779163547458094
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/1m,100,393,0.26830393509482087,1.192911,1.2441574479276336,0.0009131992750123017
27,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/27sp/1m,100,393,0.6969877132650674,3.1631532,1.6723334764239601,0.0008016984337995112
30,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/30sp_with_abundance/1m,100,393,0.22343305697589305,1.1652218,1.200204472253011,0.0016112737954060194
