Resolution,Band,Full_label,R2,p_raw,p_FDR,sig_FDR,Model,LOOCV_RMSE,SW_p
2 cm,Full,"CV 400–2500 nm
(Full range)",0.883,1e-05,2e-05,True,Lin,6.958,0.862
2 cm,VIS-NIR,"CV 430–925 nm
(VIS-NIR)",0.841,3e-05,4e-05,True,Lin,10.773,0.542
2 cm,VIS,"CV 430–700 nm
(Visible)",0.844,2e-05,4e-05,True,Lin,12.542,0.4
2 cm,NIR,"CV 700–900 nm
(NIR)",0.795,0.0001,0.00012,True,Lin,9.948,0.98
2 cm,SWIR-1,"CV 1500–1800 nm
(SWIR-1)",0.902,0.0,1e-05,True,Lin,6.442,0.786
2 cm,SWIR-2,"CV 2000–2500 nm
(SWIR-2)",0.383,0.03181,0.03181,True,Lin,13.549,0.138
5 cm,Full,"CV 400–2500 nm
(Full range)",0.694,0.00077,0.00092,True,Lin,8.557,0.555
5 cm,VIS-NIR,"CV 430–925 nm
(VIS-NIR)",0.784,0.00013,0.0003,True,Lin,10.307,0.979
5 cm,VIS,"CV 430–700 nm
(Visible)",0.784,0.00013,0.0003,True,Lin,11.826,0.952
5 cm,NIR,"CV 700–900 nm
(NIR)",0.774,0.00016,0.0003,True,Lin,8.748,0.889
5 cm,SWIR-1,"CV 1500–1800 nm
(SWIR-1)",0.764,0.0002,0.0003,True,Lin,7.163,0.365
5 cm,SWIR-2,"CV 2000–2500 nm
(SWIR-2)",0.003,0.85994,0.85994,False,Lin,16.963,0.232
10 cm,Full,"CV 400–2500 nm
(Full range)",0.621,0.00234,0.0028,True,Lin,7.323,0.067
10 cm,VIS-NIR,"CV 430–925 nm
(VIS-NIR)",0.767,0.00019,0.00044,True,Lin,8.04,0.566
10 cm,VIS,"CV 430–700 nm
(Visible)",0.76,0.00022,0.00044,True,Lin,8.962,0.3
10 cm,NIR,"CV 700–900 nm
(NIR)",0.759,0.00022,0.00044,True,Lin,7.402,0.91
10 cm,SWIR-1,"CV 1500–1800 nm
(SWIR-1)",0.725,0.00044,0.00067,True,Lin,6.498,0.316
10 cm,SWIR-2,"CV 2000–2500 nm
(SWIR-2)",0.002,0.88452,0.88452,False,Log-lin,17.239,0.512
50 cm,Full,"CV 400–2500 nm
(Full range)",0.638,0.00184,0.0022,True,Lin,7.214,0.237
50 cm,VIS-NIR,"CV 430–925 nm
(VIS-NIR)",0.765,0.0002,0.00059,True,Lin,6.022,0.299
50 cm,VIS,"CV 430–700 nm
(Visible)",0.769,0.00018,0.00059,True,Lin,7.69,0.574
50 cm,NIR,"CV 700–900 nm
(NIR)",0.738,0.00035,0.00069,True,Lin,4.263,0.408
50 cm,SWIR-1,"CV 1500–1800 nm
(SWIR-1)",0.675,0.00104,0.00156,True,Lin,6.296,0.104
50 cm,SWIR-2,"CV 2000–2500 nm
(SWIR-2)",0.236,0.10896,0.10896,False,Lin,15.615,0.518
1 m,Full,"CV 400–2500 nm
(Full range)",0.749,0.00028,0.00099,True,Lin,3.936,0.756
1 m,VIS-NIR,"CV 430–925 nm
(VIS-NIR)",0.672,0.0011,0.00165,True,Lin,4.794,0.756
1 m,VIS,"CV 430–700 nm
(Visible)",0.702,0.00067,0.00134,True,Lin,5.939,0.177
1 m,NIR,"CV 700–900 nm
(NIR)",0.492,0.01102,0.01322,True,Lin,4.363,0.437
1 m,SWIR-1,"CV 1500–1800 nm
(SWIR-1)",0.74,0.00033,0.00099,True,Lin,4.143,0.503
1 m,SWIR-2,"CV 2000–2500 nm
(SWIR-2)",0.308,0.06084,0.06084,False,Lin,11.856,0.902
